subject,trial,tStart_expected,tEnd_expected,phaseStart_expected,tStart_realized,tEnd_realized,phaseStart_realized,roboRT_expected,exitFlag,correct,rt_given,response_given,phaseType,orientation_left,contrast_left,orientation_right,contrast_right,answer,roboResponse_expected
1,1,0,9,0,989733.34933746,NaN,989733.34933746,0.2,OK,1,NaN,NO RESPONSE,0,160,80,40,20,NO RESPONSE,
1,1,0,9,1.8,989733.34933746,NaN,989736.23334641,0.2,OK,1,0.35502392204944,DownArrow,1,160,80,40,20,DownArrow,\DOWN
1,1,0,9,2.2,989733.34933746,NaN,989736.876150768,0.2,OK,1,NaN,NO RESPONSE,0,160,80,40,20,NO RESPONSE,
1,1,0,9,2.8,989733.34933746,NaN,989737.838215046,0.2,OK,1,0.364253256120719,DownArrow,1,160,80,40,20,DownArrow,\DOWN
1,1,0,9,3.2,989733.34933746,NaN,989738.479965666,0.2,OK,1,NaN,NO RESPONSE,0,160,80,40,20,NO RESPONSE,
1,2,9,18,9,NaN,NaN,NaN,0.2,,NaN,NaN,,0,0,20,0,80,NO RESPONSE,
1,2,9,18,10.4,NaN,NaN,NaN,0.2,,NaN,NaN,,1,0,20,0,80,DownArrow,\DOWN
1,2,9,18,10.8,NaN,NaN,NaN,0.2,,NaN,NaN,,0,0,20,0,80,NO RESPONSE,
1,2,9,18,11.6,NaN,NaN,NaN,0.2,,NaN,NaN,,1,0,20,0,80,DownArrow,\DOWN
1,2,9,18,12,NaN,NaN,NaN,0.2,,NaN,NaN,,0,0,20,0,80,NO RESPONSE,
1,3,18,27,18,NaN,NaN,NaN,0.2,,NaN,NaN,,0,120,20,120,20,NO RESPONSE,
1,3,18,27,19.8,NaN,NaN,NaN,0.2,,NaN,NaN,,1,120,20,120,20,DownArrow,\DOWN
1,3,18,27,20.2,NaN,NaN,NaN,0.2,,NaN,NaN,,0,120,20,120,20,NO RESPONSE,
1,3,18,27,21,NaN,NaN,NaN,0.2,,NaN,NaN,,1,120,20,120,20,DownArrow,\DOWN
1,3,18,27,21.4,NaN,NaN,NaN,0.2,,NaN,NaN,,0,120,20,120,20,NO RESPONSE,
1,4,27,36,27,NaN,NaN,NaN,0.2,,NaN,NaN,,0,20,20,20,80,NO RESPONSE,
1,4,27,36,28.8,NaN,NaN,NaN,0.2,,NaN,NaN,,1,20,20,20,80,DownArrow,\DOWN
1,4,27,36,29.2,NaN,NaN,NaN,0.2,,NaN,NaN,,0,20,20,20,80,NO RESPONSE,
1,4,27,36,29.9,NaN,NaN,NaN,0.2,,NaN,NaN,,1,20,20,20,80,DownArrow,\DOWN
1,4,27,36,30.3,NaN,NaN,NaN,0.2,,NaN,NaN,,0,20,20,20,80,NO RESPONSE,
1,5,36,45,36,NaN,NaN,NaN,0.2,,NaN,NaN,,0,60,80,0,20,NO RESPONSE,
1,5,36,45,38.2,NaN,NaN,NaN,0.2,,NaN,NaN,,1,60,80,0,20,DownArrow,\DOWN
1,5,36,45,38.6,NaN,NaN,NaN,0.2,,NaN,NaN,,0,60,80,0,20,NO RESPONSE,
1,5,36,45,39.6,NaN,NaN,NaN,0.2,,NaN,NaN,,1,60,80,0,20,DownArrow,\DOWN
1,5,36,45,40,NaN,NaN,NaN,0.2,,NaN,NaN,,0,60,80,0,20,NO RESPONSE,
1,6,45,54,45,NaN,NaN,NaN,0.2,,NaN,NaN,,0,100,80,80,80,NO RESPONSE,
1,6,45,54,48,NaN,NaN,NaN,0.2,,NaN,NaN,,1,100,80,80,80,DownArrow,\DOWN
1,6,45,54,48.4,NaN,NaN,NaN,0.2,,NaN,NaN,,0,100,80,80,80,NO RESPONSE,
1,6,45,54,49.3,NaN,NaN,NaN,0.2,,NaN,NaN,,1,100,80,80,80,DownArrow,\DOWN
1,6,45,54,49.7,NaN,NaN,NaN,0.2,,NaN,NaN,,0,100,80,80,80,NO RESPONSE,
1,7,54,63,54,NaN,NaN,NaN,0.2,,NaN,NaN,,0,100,20,80,20,NO RESPONSE,
1,7,54,63,56.3,NaN,NaN,NaN,0.2,,NaN,NaN,,1,100,20,80,20,DownArrow,\DOWN
1,7,54,63,56.7,NaN,NaN,NaN,0.2,,NaN,NaN,,0,100,20,80,20,NO RESPONSE,
1,7,54,63,57.4,NaN,NaN,NaN,0.2,,NaN,NaN,,1,100,20,80,20,DownArrow,\DOWN
1,7,54,63,57.8,NaN,NaN,NaN,0.2,,NaN,NaN,,0,100,20,80,20,NO RESPONSE,
1,8,63,72,63,NaN,NaN,NaN,0.2,,NaN,NaN,,0,40,80,160,80,NO RESPONSE,
1,8,63,72,65.3,NaN,NaN,NaN,0.2,,NaN,NaN,,1,40,80,160,80,DownArrow,\DOWN
1,8,63,72,65.7,NaN,NaN,NaN,0.2,,NaN,NaN,,0,40,80,160,80,NO RESPONSE,
1,8,63,72,66.4,NaN,NaN,NaN,0.2,,NaN,NaN,,1,40,80,160,80,DownArrow,\DOWN
1,8,63,72,66.8,NaN,NaN,NaN,0.2,,NaN,NaN,,0,40,80,160,80,NO RESPONSE,
1,9,72,81,72,NaN,NaN,NaN,0.2,,NaN,NaN,,0,140,20,100,20,NO RESPONSE,
1,9,72,81,74.1,NaN,NaN,NaN,0.2,,NaN,NaN,,1,140,20,100,20,DownArrow,\DOWN
1,9,72,81,74.5,NaN,NaN,NaN,0.2,,NaN,NaN,,0,140,20,100,20,NO RESPONSE,
1,9,72,81,75.1,NaN,NaN,NaN,0.2,,NaN,NaN,,1,140,20,100,20,DownArrow,\DOWN
1,9,72,81,75.5,NaN,NaN,NaN,0.2,,NaN,NaN,,0,140,20,100,20,NO RESPONSE,
1,10,81,90,81,NaN,NaN,NaN,0.2,,NaN,NaN,,0,40,20,20,20,NO RESPONSE,
1,10,81,90,82.6,NaN,NaN,NaN,0.2,,NaN,NaN,,1,40,20,20,20,DownArrow,\DOWN
1,10,81,90,83,NaN,NaN,NaN,0.2,,NaN,NaN,,0,40,20,20,20,NO RESPONSE,
1,10,81,90,84,NaN,NaN,NaN,0.2,,NaN,NaN,,1,40,20,20,20,DownArrow,\DOWN
1,10,81,90,84.4,NaN,NaN,NaN,0.2,,NaN,NaN,,0,40,20,20,20,NO RESPONSE,
1,11,90,99,90,NaN,NaN,NaN,0.2,,NaN,NaN,,0,160,20,60,80,NO RESPONSE,
1,11,90,99,91.6,NaN,NaN,NaN,0.2,,NaN,NaN,,1,160,20,60,80,DownArrow,\DOWN
1,11,90,99,92,NaN,NaN,NaN,0.2,,NaN,NaN,,0,160,20,60,80,NO RESPONSE,
1,11,90,99,92.7,NaN,NaN,NaN,0.2,,NaN,NaN,,1,160,20,60,80,DownArrow,\DOWN
1,11,90,99,93.1,NaN,NaN,NaN,0.2,,NaN,NaN,,0,160,20,60,80,NO RESPONSE,
1,12,99,108,99,NaN,NaN,NaN,0.2,,NaN,NaN,,0,80,80,140,80,NO RESPONSE,
1,12,99,108,100.7,NaN,NaN,NaN,0.2,,NaN,NaN,,1,80,80,140,80,DownArrow,\DOWN
1,12,99,108,101.1,NaN,NaN,NaN,0.2,,NaN,NaN,,0,80,80,140,80,NO RESPONSE,
1,12,99,108,101.9,NaN,NaN,NaN,0.2,,NaN,NaN,,1,80,80,140,80,DownArrow,\DOWN
1,12,99,108,102.3,NaN,NaN,NaN,0.2,,NaN,NaN,,0,80,80,140,80,NO RESPONSE,
1,13,108,117,108,NaN,NaN,NaN,0.2,,NaN,NaN,,0,20,80,60,20,NO RESPONSE,
1,13,108,117,109.6,NaN,NaN,NaN,0.2,,NaN,NaN,,1,20,80,60,20,DownArrow,\DOWN
1,13,108,117,110,NaN,NaN,NaN,0.2,,NaN,NaN,,0,20,80,60,20,NO RESPONSE,
1,13,108,117,110.8,NaN,NaN,NaN,0.2,,NaN,NaN,,1,20,80,60,20,DownArrow,\DOWN
1,13,108,117,111.2,NaN,NaN,NaN,0.2,,NaN,NaN,,0,20,80,60,20,NO RESPONSE,
1,14,117,126,117,NaN,NaN,NaN,0.2,,NaN,NaN,,0,60,20,40,80,NO RESPONSE,
1,14,117,126,119,NaN,NaN,NaN,0.2,,NaN,NaN,,1,60,20,40,80,DownArrow,\DOWN
1,14,117,126,119.4,NaN,NaN,NaN,0.2,,NaN,NaN,,0,60,20,40,80,NO RESPONSE,
1,14,117,126,120.3,NaN,NaN,NaN,0.2,,NaN,NaN,,1,60,20,40,80,DownArrow,\DOWN
1,14,117,126,120.7,NaN,NaN,NaN,0.2,,NaN,NaN,,0,60,20,40,80,NO RESPONSE,
1,15,126,135,126,NaN,NaN,NaN,0.2,,NaN,NaN,,0,80,20,160,20,NO RESPONSE,
1,15,126,135,128.7,NaN,NaN,NaN,0.2,,NaN,NaN,,1,80,20,160,20,DownArrow,\DOWN
1,15,126,135,129.1,NaN,NaN,NaN,0.2,,NaN,NaN,,0,80,20,160,20,NO RESPONSE,
1,15,126,135,130,NaN,NaN,NaN,0.2,,NaN,NaN,,1,80,20,160,20,DownArrow,\DOWN
1,15,126,135,130.4,NaN,NaN,NaN,0.2,,NaN,NaN,,0,80,20,160,20,NO RESPONSE,
1,16,135,144,135,NaN,NaN,NaN,0.2,,NaN,NaN,,0,140,80,140,20,NO RESPONSE,
1,16,135,144,137.2,NaN,NaN,NaN,0.2,,NaN,NaN,,1,140,80,140,20,DownArrow,\DOWN
1,16,135,144,137.6,NaN,NaN,NaN,0.2,,NaN,NaN,,0,140,80,140,20,NO RESPONSE,
1,16,135,144,138.4,NaN,NaN,NaN,0.2,,NaN,NaN,,1,140,80,140,20,DownArrow,\DOWN
1,16,135,144,138.8,NaN,NaN,NaN,0.2,,NaN,NaN,,0,140,80,140,20,NO RESPONSE,
1,17,144,153,144,NaN,NaN,NaN,0.2,,NaN,NaN,,0,0,80,100,80,NO RESPONSE,
1,17,144,153,146.2,NaN,NaN,NaN,0.2,,NaN,NaN,,1,0,80,100,80,DownArrow,\DOWN
1,17,144,153,146.6,NaN,NaN,NaN,0.2,,NaN,NaN,,0,0,80,100,80,NO RESPONSE,
1,17,144,153,147.4,NaN,NaN,NaN,0.2,,NaN,NaN,,1,0,80,100,80,DownArrow,\DOWN
1,17,144,153,147.8,NaN,NaN,NaN,0.2,,NaN,NaN,,0,0,80,100,80,NO RESPONSE,
1,18,153,162,153,NaN,NaN,NaN,0.2,,NaN,NaN,,0,120,80,120,80,NO RESPONSE,
1,18,153,162,155.1,NaN,NaN,NaN,0.2,,NaN,NaN,,1,120,80,120,80,DownArrow,\DOWN
1,18,153,162,155.5,NaN,NaN,NaN,0.2,,NaN,NaN,,0,120,80,120,80,NO RESPONSE,
1,18,153,162,156.2,NaN,NaN,NaN,0.2,,NaN,NaN,,1,120,80,120,80,DownArrow,\DOWN
1,18,153,162,156.6,NaN,NaN,NaN,0.2,,NaN,NaN,,0,120,80,120,80,NO RESPONSE,
